일련번호,주소,동,층,호수,동호수,전체주소,면적,지목,소유자명,주민번호,성별,연령대,소유형태,지분,소유자주소,거주투자구분,투자자거주지역,등기원인,등기일자,접수번호,근저당권유무,대출총액,근저당권자,근저당설정일,근저당접수번호,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
18,서울시 용산구 이태원동 22-2,1동,3,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,조하준,600228-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동104호,실거주,-,증여,2020-04-04,제63428호,Y,885680000,우리은행,2024-05-25,제7848호,N,,,,
19,서울시 용산구 이태원동 22-2,1동,3,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,임시우,******-*******,남성,미분류,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동105호,실거주,-,매매,2003-04-06,제69194호,Y,304330000,하나은행,2017-12-26,제16129호,N,,,,
20,서울시 용산구 이태원동 22-2,1동,3,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,장순자,620427-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동106호,실거주,-,매매,2007-10-27,제7120호,Y,777940000,우리은행,2011-09-29,제90639호,N,,,,
21,서울시 용산구 이태원동 22-2,1동,3,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,이민서,560704-1******,남성,60대,단독소유,단독소유,서울시 송파구 삼성동 419-66,투자 목적,서울,경매,2025-12-28,제94915호,Y,291350000,기업은행,2018-07-08,제81759호,N,,,,
22,서울시 용산구 이태원동 22-2,1동,4,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,조민준,611009-1******,남성,60대,단독소유,단독소유,서울시 송파구 삼성동 268-44,투자 목적,서울,상속,2020-02-01,제62661호,N,0,,,,N,,,,
23,서울시 용산구 이태원동 22-2,1동,4,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,강민준,610610-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동102호,실거주,-,증여,1997-12-07,제34718호,Y,793690000,기업은행,2012-03-03,제70047호,N,,,,
24,서울시 용산구 이태원동 22-2,1동,4,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,김영희,400305-1******,남성,80대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,경매,2021-06-28,제36399호,Y,786460000,신한은행,2018-06-30,제37987호,N,,,,
25,서울시 용산구 이태원동 22-2,1동,4,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,정예준,660810-2******,여성,50대,단독소유,단독소유,서울시 강남구 역삼동 739-32,투자 목적,서울,상속,2018-08-03,제11756호,Y,422440000,우리은행,2024-05-28,제83421호,N,,,,
26,서울시 용산구 이태원동 22-2,1동,4,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,조하준,590525-1******,남성,60대,단독소유,단독소유,서울시 송파구 역삼동 468-30,투자 목적,서울,상속,2021-09-12,제50544호,Y,244450000,국민은행,2016-05-31,제28507호,N,,,,
27,서울시 용산구 이태원동 22-2,1동,4,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,장시우,600515-2******,여성,60대,단독소유,단독소유,서울시 강남구 역삼동 475-4,투자 목적,서울,매매,2021-04-21,제29854호,Y,215670000,기업은행,2013-08-20,제62162호,N,,,,
28,서울시 용산구 이태원동 22-2,1동,4,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,이서준,910812-1******,남성,30대,단독소유,단독소유,경상남도 창원시 성산구 115-11,투자 목적,경남,증여,2018-08-28,제98165호,N,0,,,,N,,,,
29,서울시 용산구 이태원동 22-2,1동,5,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,강지호,530313-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,증여,1995-07-19,제4294호,Y,712490000,국민은행,2012-09-22,제15842호,N,,,,
30,서울시 용산구 이태원동 22-2,1동,5,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,정민준,351013-2******,여성,80대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동102호,실거주,-,상속,2025-03-24,제59465호,Y,106780000,하나은행,2018-08-31,제57327호,N,,,,
31,서울시 용산구 이태원동 22-2,1동,5,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,장민서,830206-1******,남성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,경매,2021-12-06,제44353호,Y,203170000,하나은행,2011-05-15,제19280호,N,,,,
32,서울시 용산구 이태원동 22-2,1동,5,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,김주원,600614-1******,남성,60대,단독소유,단독소유,서울시 서초구 삼성동 159-80,투자 목적,서울,매매,2001-06-26,제13978호,Y,715710000,하나은행,2023-06-16,제12341호,N,,,,
33,서울시 용산구 이태원동 22-2,1동,5,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,박주원,551111-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동105호,실거주,-,매매,2024-01-27,제67608호,N,0,,,,Y,압류,2024-06-10,제21529호,국
34,서울시 용산구 이태원동 22-2,1동,5,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,윤시우,851118-2******,여성,30대,단독소유,단독소유,서울시 서초구 역삼동 20-85,투자 목적,서울,경매,2007-09-12,제56710호,Y,587790000,기업은행,2015-10-09,제99103호,N,,,,
35,서울시 용산구 이태원동 22-2,1동,5,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,최예준,550210-1******,남성,60대,공유자,2분의 1,"9691 Main St, Los Angeles, CA, USA",투자 목적,미국,상속,2008-09-26,제23747호,Y,917040000,국민은행,2020-06-29,제30221호,N,,,,
36,서울시 용산구 이태원동 22-2,1동,6,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,강민준,630320-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,매매,2015-07-14,제21383호,Y,598660000,국민은행,2011-11-01,제51226호,N,,,,
37,서울시 용산구 이태원동 22-2,1동,6,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,강지호,530819-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동102호,실거주,-,경매,2008-07-23,제59680호,Y,102490000,우리은행,2019-07-04,제53766호,N,,,,
38,서울시 용산구 이태원동 22-2,1동,6,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,박순자,350908-2******,여성,80대,공유자,2분의 1,강원도 춘천시 퇴계동 311-26,투자 목적,강원,상속,2018-05-24,제47549호,Y,309960000,우리은행,2020-06-30,제19310호,N,,,,
39,서울시 용산구 이태원동 22-2,1동,6,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,정주원,670112-1******,남성,50대,단독소유,단독소유,경기도 고양시 분당구 정자동 541-94,투자 목적,경기,상속,2018-05-27,제68550호,Y,756220000,국민은행,2016-09-23,제36986호,N,,,,
40,서울시 용산구 이태원동 22-2,1동,6,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,박영자,670928-2******,여성,50대,단독소유,단독소유,서울시 강남구 삼성동 543-94,투자 목적,서울,경매,2022-04-18,제19526호,Y,365100000,기업은행,2011-04-09,제67488호,N,,,,
41,서울시 용산구 이태원동 22-2,1동,6,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,이영희,650716-2******,여성,50대,단독소유,단독소유,서울시 강남구 역삼동 874-93,투자 목적,서울,경매,2010-07-26,제17324호,N,0,,,,N,,,,
42,서울시 용산구 이태원동 22-2,1동,6,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,정민서,281125-2******,여성,90대,단독소유,단독소유,서울시 서초구 삼성동 90-87,투자 목적,서울,경매,2017-04-12,제11017호,Y,904530000,기업은행,2024-01-26,제33608호,N,,,,
43,서울시 용산구 이태원동 22-2,1동,7,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,조서연,461018-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,증여,2012-07-25,제58769호,N,0,,,,N,,,,
44,서울시 용산구 이태원동 22-2,1동,7,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,강서준,650722-1******,남성,50대,단독소유,단독소유,서울시 강남구 삼성동 662-83,투자 목적,서울,경매,2021-06-18,제74487호,Y,980530000,국민은행,2019-11-02,제31081호,N,,,,
45,서울시 용산구 이태원동 22-2,1동,7,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,조민서,721021-2******,여성,50대,단독소유,단독소유,서울시 송파구 삼성동 577-66,투자 목적,서울,경매,2005-07-26,제85387호,N,0,,,,N,,,,
46,서울시 용산구 이태원동 22-2,1동,7,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,최지호,600810-2******,여성,60대,단독소유,단독소유,서울시 송파구 삼성동 498-90,투자 목적,서울,매매,2023-01-01,제6719호,Y,573310000,하나은행,2018-11-20,제89573호,N,,,,
47,서울시 용산구 이태원동 22-2,1동,7,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,조민서,640326-2******,여성,60대,단독소유,단독소유,서울시 강남구 역삼동 281-56,투자 목적,서울,경매,2004-06-25,제31280호,Y,764310000,하나은행,2021-01-31,제6871호,N,,,,
48,서울시 용산구 이태원동 22-2,1동,7,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,임순자,800107-1******,남성,40대,단독소유,단독소유,서울시 서초구 삼성동 248-4,투자 목적,서울,증여,2013-02-16,제32889호,Y,226410000,우리은행,2017-01-26,제33723호,N,,,,
49,서울시 용산구 이태원동 22-2,1동,7,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,박시우,730617-2******,여성,50대,단독소유,단독소유,서울시 강남구 삼성동 890-13,투자 목적,서울,증여,2004-10-09,제88819호,N,0,,,,N,,,,
50,서울시 용산구 이태원동 22-2,1동,8,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,윤서준,700802-1******,남성,50대,단독소유,단독소유,서울시 서초구 삼성동 852-66,투자 목적,서울,경매,2020-09-12,제43250호,N,0,,,,Y,압류,2023-06-17,제27563호,국
51,서울시 용산구 이태원동 22-2,1동,8,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,최하준,830720-1******,남성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동102호,실거주,-,상속,2006-08-03,제77198호,Y,243150000,국민은행,2015-12-29,제33955호,N,,,,
52,서울시 용산구 이태원동 22-2,1동,8,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,장하준,591204-2******,여성,60대,단독소유,단독소유,서울시 송파구 삼성동 494-83,투자 목적,서울,상속,2023-11-07,제68056호,Y,463440000,하나은행,2013-08-13,제70749호,N,,,,
53,서울시 용산구 이태원동 22-2,1동,8,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,강주원,470515-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동104호,실거주,-,경매,2023-04-17,제10147호,Y,772720000,기업은행,2020-04-05,제64007호,N,,,,
54,서울시 용산구 이태원동 22-2,1동,8,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,김하준,710209-2******,여성,50대,단독소유,단독소유,서울시 서초구 역삼동 247-76,투자 목적,서울,상속,2005-07-26,제25434호,Y,836660000,하나은행,2022-12-25,제6729호,N,,,,
55,서울시 용산구 이태원동 22-2,1동,8,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,김민준,740707-1******,남성,50대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 1동106호,실거주,-,상속,2022-03-28,제95504호,N,0,,,,N,,,,
56,서울시 용산구 이태원동 22-2,1동,8,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,장순자,740716-1******,남성,50대,단독소유,단독소유,경상남도 창원시 성산구 345-47,투자 목적,경남,경매,2019-05-03,제14984호,Y,964110000,신한은행,2022-07-11,제89086호,N,,,,
57,서울시 용산구 이태원동 22-2,1동,9,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,박서연,500514-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,경매,2014-09-21,제22852호,N,0,,,,N,,,,
58,서울시 용산구 이태원동 22-2,1동,9,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,강영자,610108-1******,남성,60대,단독소유,단독소유,서울시 서초구 역삼동 842-69,투자 목적,서울,경매,2016-12-02,제85212호,Y,263810000,신한은행,2023-06-30,제17284호,N,,,,
59,서울시 용산구 이태원동 22-2,1동,9,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,조영자,460526-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,상속,2012-03-24,제78427호,Y,710100000,국민은행,2021-02-07,제50078호,N,,,,
60,서울시 용산구 이태원동 22-2,1동,9,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,최시우,380624-1******,남성,80대,단독소유,단독소유,경기도 성남시 분당구 정자동 944-43,투자 목적,경기,증여,2006-03-21,제95632호,Y,159130000,우리은행,2017-10-29,제73769호,N,,,,
61,서울시 용산구 이태원동 22-2,1동,9,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,이서연,710102-1******,남성,50대,단독소유,단독소유,서울시 강남구 역삼동 283-20,투자 목적,서울,경매,2007-06-17,제33277호,N,0,,,,N,,,,
62,서울시 용산구 이태원동 22-2,1동,9,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,최영자,480601-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동106호,실거주,-,매매,2004-02-08,제49333호,Y,603120000,우리은행,2017-07-01,제46254호,N,,,,
63,서울시 용산구 이태원동 22-2,1동,9,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,이순자,691022-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동107호,실거주,-,매매,2009-10-02,제85648호,Y,399910000,신한은행,2018-06-12,제10493호,N,,,,
64,서울시 용산구 이태원동 22-2,1동,10,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,강민서,540710-1******,남성,70대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,매매,2023-08-08,제22053호,Y,782110000,기업은행,2011-02-02,제50286호,N,,,,
65,서울시 용산구 이태원동 22-2,1동,10,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,장영희,650617-2******,여성,50대,단독소유,단독소유,대전시 유성구 봉명동 535-74,투자 목적,대전,경매,2006-01-22,제22622호,Y,390990000,국민은행,2019-06-23,제23049호,N,,,,
66,서울시 용산구 이태원동 22-2,1동,10,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,조영자,690804-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,경매,2018-09-02,제87219호,Y,188840000,국민은행,2022-09-07,제30415호,N,,,,
67,서울시 용산구 이태원동 22-2,1동,10,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,박주원,650815-2******,여성,50대,단독소유,단독소유,서울시 강남구 역삼동 418-25,투자 목적,서울,매매,2016-02-11,제58161호,Y,468910000,국민은행,2016-10-14,제96444호,N,,,,
68,서울시 용산구 이태원동 22-2,1동,10,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,정영희,580318-2******,여성,60대,단독소유,단독소유,서울시 강남구 역삼동 80-69,투자 목적,서울,증여,2011-11-12,제40514호,Y,610200000,국민은행,2017-06-19,제47417호,N,,,,
69,서울시 용산구 이태원동 22-2,1동,10,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,장시우,620721-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동106호,실거주,-,상속,2012-10-18,제28705호,Y,913860000,기업은행,2017-08-07,제85720호,N,,,,
70,서울시 용산구 이태원동 22-2,1동,10,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,장하준,350907-2******,여성,80대,공유자,2분의 1,서울시 강남구 역삼동 269-17,투자 목적,서울,경매,2007-05-11,제41960호,Y,275840000,우리은행,2020-09-20,제50668호,N,,,,
71,서울시 용산구 이태원동 22-2,1동,11,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,윤주원,600821-2******,여성,60대,단독소유,단독소유,서울시 강남구 역삼동 432-38,투자 목적,서울,경매,2020-06-02,제30009호,Y,397820000,신한은행,2019-07-26,제53947호,N,,,,
72,서울시 용산구 이태원동 22-2,1동,11,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,강서준,520909-2******,여성,70대,단독소유,단독소유,서울시 강남구 역삼동 86-45,투자 목적,서울,상속,2020-06-23,제11196호,Y,280580000,우리은행,2011-02-02,제54153호,N,,,,
73,서울시 용산구 이태원동 22-2,1동,11,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,윤영희,720926-1******,남성,50대,단독소유,단독소유,서울시 강남구 역삼동 705-3,투자 목적,서울,경매,2022-08-21,제39608호,N,0,,,,N,,,,
74,서울시 용산구 이태원동 22-2,1동,11,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,윤지호,470319-2******,여성,70대,단독소유,단독소유,서울시 강남구 역삼동 204-62,투자 목적,서울,매매,2022-09-26,제15203호,Y,678540000,기업은행,2022-12-28,제91624호,N,,,,
75,서울시 용산구 이태원동 22-2,1동,11,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,강주원,811015-2******,여성,40대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 1동105호,실거주,-,경매,2020-08-04,제68755호,N,0,,,,N,,,,
76,서울시 용산구 이태원동 22-2,1동,11,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,이도윤,360417-2******,여성,80대,단독소유,단독소유,서울시 강남구 역삼동 248-9,투자 목적,서울,상속,2015-05-08,제49008호,N,0,,,,N,,,,
77,서울시 용산구 이태원동 22-2,1동,11,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,윤시우,520121-1******,남성,70대,단독소유,단독소유,서울시 강남구 역삼동 15-53,투자 목적,서울,경매,2021-04-20,제31764호,Y,985540000,신한은행,2019-03-25,제76940호,N,,,,
78,서울시 용산구 이태원동 22-2,1동,12,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,최하준,821114-1******,남성,40대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,매매,2009-01-26,제37652호,N,0,,,,N,,,,
79,서울시 용산구 이태원동 22-2,1동,12,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,윤서준,450927-2******,여성,70대,단독소유,단독소유,서울시 강남구 역삼동 370-94,투자 목적,서울,경매,2019-12-20,제45654호,Y,568170000,하나은행,2021-06-23,제50223호,N,,,,
80,서울시 용산구 이태원동 22-2,1동,12,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,장민준,501226-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,상속,2005-01-16,제54486호,N,0,,,,N,,,,
81,서울시 용산구 이태원동 22-2,1동,12,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,윤서연,550628-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동104호,실거주,-,매매,2005-08-24,제56768호,N,0,,,,N,,,,
82,서울시 용산구 이태원동 22-2,1동,12,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,장영희,300420-1******,남성,90대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 1동105호,실거주,-,경매,2015-12-27,제77659호,Y,214070000,우리은행,2021-05-02,제19851호,N,,,,
83,서울시 용산구 이태원동 22-2,1동,12,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,윤서연,721023-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동106호,실거주,-,상속,2023-12-23,제80201호,Y,863700000,기업은행,2011-04-11,제2432호,N,,,,
84,서울시 용산구 이태원동 22-2,1동,12,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,임순자,730119-1******,남성,50대,단독소유,단독소유,서울시 강남구 역삼동 90-40,투자 목적,서울,매매,2020-04-06,제77032호,Y,525990000,기업은행,2022-04-21,제98261호,N,,,,
85,서울시 용산구 이태원동 22-2,2동,1,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,정지호,610625-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,경매,2020-02-26,제55553호,Y,986540000,우리은행,2020-11-15,제58392호,N,,,,
