순번,소재지,건물명,건축연도,경과년수,전용면적_제곱미터,대지면적_제곱미터,대지권비율,실질대지지분_제곱미터,현소유자,주민번호,현주소,소유권취득일,보유기간_년,이전사유,근저당1_설정일,근저당1_채권최고액,근저당1_채무자,근저당1_근저당권자,근저당2_설정일,근저당2_채권최고액,근저당2_채무자,근저당2_근저당권자,유효근저당총액,유효근저당건수,소유권이전횟수,실거주여부,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
39,서울시 영등포구 여의도동 41,대교아파트 1동 403호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최영수,040427-3******,"서울시 영등포구 여의도동 41, 101동 403호",2014-12-01,10,증여,,0,최영수,,,,,,0,,1,실거주 추정,N,,,,
40,서울시 영등포구 여의도동 41,대교아파트 1동 404호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황예준,010728-3******,"서울시 영등포구 여의도동 41, 101동 404호",2021-04-26,4,증여,,0,황예준,,,,,,0,,0,실거주 추정,N,,,,
41,서울시 영등포구 여의도동 41,대교아파트 1동 405호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최민준,790717-1******,"서울시 영등포구 여의도동 41, 101동 405호",2023-06-14,2,매매,2020년04월30일,1818680000,최민준,주식회사하나은행,,,,,1818680000,1,1,실거주 추정,N,,,,
42,서울시 영등포구 여의도동 41,대교아파트 1동 406호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오영수,050927-3******,"서울시 영등포구 여의도동 41, 101동 406호",2016-10-11,9,매매,2016년04월21일,494360000,오영수,주식회사등본은행,,,,,494360000,1,1,실거주 추정,N,,,,
43,서울시 영등포구 여의도동 41,대교아파트 1동 407호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임미나,041211-4******,"서울시 영등포구 여의도동 41, 101동 407호",2024-01-22,1,매매,2022년03월03일,113390000,임미나,주식회사등본은행,,,,,113390000,1,0,실거주 추정,N,,,,
44,서울시 영등포구 여의도동 41,대교아파트 1동 408호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박두산,610919-1******,"서울시 영등포구 여의도동 41, 101동 408호",2024-02-29,1,증여,2017년09월09일,609270000,박두산,주식회사등본은행,,,,,609270000,1,2,실거주 추정,N,,,,
45,서울시 영등포구 여의도동 41,대교아파트 1동 409호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권예준,771118-2******,"서울시 영등포구 여의도동 41, 101동 409호",2013-02-03,12,매매,,0,권예준,,,,,,0,,4,실거주 추정,N,,,,
46,서울시 영등포구 여의도동 41,대교아파트 1동 410호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황철수,570816-1******,"서울시 영등포구 여의도동 41, 101동 410호",2007-01-27,18,매매,2024년01월09일,103310000,황철수,주식회사통합은행,,,,,103310000,1,4,실거주 추정,N,,,,
47,서울시 영등포구 여의도동 41,대교아파트 1동 411호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황미경,020209-4******,"서울시 영등포구 여의도동 41, 101동 411호",2019-06-14,6,매매,,0,황미경,,,,,,0,,1,실거주 추정,N,,,,
48,서울시 영등포구 여의도동 41,대교아파트 1동 412호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,류혜진,971118-2******,"서울시 영등포구 여의도동 41, 101동 412호",2007-10-11,18,상속,,0,류혜진,,,,,,0,,5,실거주 추정,N,,,,
49,서울시 영등포구 여의도동 41,대교아파트 1동 501호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍미나,951011-1******,"서울시 영등포구 여의도동 41, 101동 501호",2022-03-29,3,증여,2015년03월22일,475930000,홍미나,주식회사우리은행,,,,,475930000,1,3,실거주 추정,N,,,,
50,서울시 영등포구 여의도동 41,대교아파트 1동 502호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조수빈,050224-3******,"서울시 영등포구 여의도동 41, 101동 502호",2017-05-01,8,매매,,0,조수빈,,,,,,0,,2,실거주 추정,N,,,,
51,서울시 영등포구 여의도동 41,대교아파트 1동 503호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오서연,530824-2******,서울시 서초구 방배동 620-38,2024-03-03,1,매매,2022년09월27일,203550000,오서연,주식회사하나은행,,,,,203550000,1,0,세입자 가능성,N,,,,
52,서울시 영등포구 여의도동 41,대교아파트 1동 504호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권영만,661217-1******,서울시 강북구 번동 928-3,2013-08-27,12,증여,2012년07월01일,146510000,권영만,주식회사통합은행,,,,,146510000,1,5,세입자 가능성,N,,,,
53,서울시 영등포구 여의도동 41,대교아파트 1동 505호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,안철수,920703-2******,"서울시 영등포구 여의도동 41, 101동 505호",2006-03-28,19,매매,2023년06월13일,415510000,안철수,주식회사우리은행,,,,,415510000,1,1,실거주 추정,N,,,,
54,서울시 영등포구 여의도동 41,대교아파트 1동 506호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신미나,640616-2******,서울시 성북구 길음동 808-90,2019-07-23,6,매매,2019년03월10일,1323100000,신미나,주식회사신한은행,,,,,1323100000,1,2,세입자 가능성,N,,,,
55,서울시 영등포구 여의도동 41,대교아파트 1동 507호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한수진,970826-2******,서울시 동대문구 답십리동 577-25,2015-06-27,10,매매,2024년04월07일,329190000,한수진,주식회사농협은행,,,,,329190000,1,5,세입자 가능성,N,,,,
56,서울시 영등포구 여의도동 41,대교아파트 1동 508호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서영희,760209-2******,"서울시 영등포구 여의도동 41, 101동 508호",2017-06-20,8,상속,2017년07월02일,890870000,서영희,KB국민은행,,,,,890870000,1,5,실거주 추정,N,,,,
57,서울시 영등포구 여의도동 41,대교아파트 1동 509호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤예준,581028-2******,서울시 송파구 석촌동 646-93,2022-08-20,3,상속,2015년10월14일,304460000,윤예준,주식회사국민은행,,,,,304460000,1,3,세입자 가능성,N,,,,
58,서울시 영등포구 여의도동 41,대교아파트 1동 510호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황철수,051218-4******,"서울시 영등포구 여의도동 41, 101동 510호",2019-03-17,6,증여,2011년12월04일,972030000,황철수,주식회사국민은행,,,,,972030000,1,3,실거주 추정,N,,,,
59,서울시 영등포구 여의도동 41,대교아파트 1동 511호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,강용하,010225-4******,서울시 은평구 역촌동 489-25,2017-05-07,8,상속,2012년05월21일,932070000,강용하,주식회사우리은행,,,,,932070000,1,3,세입자 가능성,N,,,,
60,서울시 영등포구 여의도동 41,대교아파트 1동 512호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,장현우,610406-2******,"서울시 영등포구 여의도동 41, 101동 512호",2014-09-27,11,상속,2023년03월19일,625570000,장현우,주식회사우리은행,,,,,625570000,1,4,실거주 추정,N,,,,
61,서울시 영등포구 여의도동 41,대교아파트 1동 601호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조주원,541109-2******,"서울시 영등포구 여의도동 41, 101동 601호",2023-11-25,1,증여,,0,조주원,,,,,,0,,2,실거주 추정,N,,,,
62,서울시 영등포구 여의도동 41,대교아파트 1동 602호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오두산,840106-2******,"서울시 영등포구 여의도동 41, 101동 602호",2006-07-12,19,상속,2021년07월31일,952570000,오두산,주식회사신한은행,,,,,952570000,1,2,실거주 추정,N,,,,
63,서울시 영등포구 여의도동 41,대교아파트 1동 603호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오지민,040515-4******,"서울시 영등포구 여의도동 41, 101동 603호",2013-04-02,12,증여,2021년01월21일,468620000,오지민,주식회사신한은행,,,,,468620000,1,4,실거주 추정,N,,,,
64,서울시 영등포구 여의도동 41,대교아파트 1동 604호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최수빈,040717-3******,서울시 중구 신당동 616-55,2006-03-08,19,증여,2013년09월28일,1212230000,최수빈,주식회사농협은행,,,,,1212230000,1,2,세입자 가능성,N,,,,
65,서울시 영등포구 여의도동 41,대교아파트 1동 605호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,류민준,950325-1******,"서울시 영등포구 여의도동 41, 101동 605호",2023-03-23,2,매매,,0,류민준,,,,,,0,,4,실거주 추정,N,,,,
66,서울시 영등포구 여의도동 41,대교아파트 1동 606호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신하은,901108-2******,서울시 금천구 독산동 921-22,2022-06-22,3,증여,2014년03월30일,871570000,신하은,주식회사농협은행,,,,,871570000,1,2,세입자 가능성,N,,,,
67,서울시 영등포구 여의도동 41,대교아파트 1동 607호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황미경,831017-1******,서울시 도봉구 방학동 36-22,2013-01-11,12,상속,,0,황미경,,,,,,0,,3,세입자 가능성,N,,,,
68,서울시 영등포구 여의도동 41,대교아파트 1동 608호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,장은서,781118-2******,서울시 구로구 고척동 73-59,2021-03-31,4,상속,,0,장은서,,,,,,0,,4,세입자 가능성,N,,,,
69,서울시 영등포구 여의도동 41,대교아파트 1동 609호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이지민,010821-3******,"서울시 영등포구 여의도동 41, 101동 609호",2016-06-28,9,상속,,0,이지민,,,,,,0,,1,실거주 추정,N,,,,
70,서울시 영등포구 여의도동 41,대교아파트 1동 610호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권유진,651002-1******,"서울시 영등포구 여의도동 41, 101동 610호",2020-11-17,4,증여,2014년10월04일,1055380000,권유진,주식회사등본은행,,,,,1055380000,1,1,실거주 추정,N,,,,
71,서울시 영등포구 여의도동 41,대교아파트 1동 611호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한동현,020601-3******,"서울시 영등포구 여의도동 41, 101동 611호",2017-01-21,8,증여,,0,한동현,,,,,,0,,0,실거주 추정,N,,,,
72,서울시 영등포구 여의도동 41,대교아파트 1동 612호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,강기태,051020-4******,서울시 성동구 성수동 728-68,2017-01-21,8,상속,,0,강기태,,,,,,0,,4,세입자 가능성,N,,,,
73,서울시 영등포구 여의도동 41,대교아파트 1동 701호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권유진,040202-4******,"서울시 영등포구 여의도동 41, 101동 701호",2013-09-19,12,매매,,0,권유진,,,,,,0,,4,실거주 추정,N,,,,
74,서울시 영등포구 여의도동 41,대교아파트 1동 702호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신수빈,841112-1******,"서울시 영등포구 여의도동 41, 101동 702호",2015-10-07,10,매매,,0,신수빈,,,,,,0,,0,실거주 추정,N,,,,
75,서울시 영등포구 여의도동 41,대교아파트 1동 703호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임기태,500921-2******,"서울시 영등포구 여의도동 41, 101동 703호",2018-02-22,7,매매,2020년08월27일,453520000,임기태,주식회사하나은행,,,,,453520000,1,4,실거주 추정,N,,,,
76,서울시 영등포구 여의도동 41,대교아파트 1동 704호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황진혁,520627-1******,서울시 성북구 성북동 309-43,2013-09-11,12,증여,2022년01월29일,693840000,황진혁,KB국민은행,,,,,693840000,1,5,세입자 가능성,N,,,,
77,서울시 영등포구 여의도동 41,대교아파트 1동 705호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조지민,810512-1******,"서울시 영등포구 여의도동 41, 101동 705호",2008-01-30,17,상속,2022년09월20일,964380000,조지민,주식회사명동은행,,,,,964380000,1,5,실거주 추정,N,,,,
78,서울시 영등포구 여의도동 41,대교아파트 1동 706호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이지우,050116-3******,"서울시 영등포구 여의도동 41, 101동 706호",2015-05-02,10,매매,2011년10월12일,719950000,이지우,주식회사명동은행,,,,,719950000,1,1,실거주 추정,N,,,,
79,서울시 영등포구 여의도동 41,대교아파트 1동 707호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신도윤,530824-2******,"서울시 영등포구 여의도동 41, 101동 707호",2020-02-26,5,상속,2020년09월08일,363420000,신도윤,주식회사국민은행,,,,,363420000,1,4,실거주 추정,N,,,,
80,서울시 영등포구 여의도동 41,대교아파트 1동 708호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍진혁,000901-3******,"서울시 영등포구 여의도동 41, 101동 708호",2006-06-23,19,매매,2019년07월12일,1272700000,홍진혁,KB국민은행,,,,,1272700000,1,1,실거주 추정,N,,,,
81,서울시 영등포구 여의도동 41,대교아파트 1동 709호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤용하,541011-2******,"서울시 영등포구 여의도동 41, 101동 709호",2015-07-01,10,매매,,0,윤용하,,,,,,0,,0,실거주 추정,N,,,,
82,서울시 영등포구 여의도동 41,대교아파트 1동 710호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권예준,020809-4******,"서울시 영등포구 여의도동 41, 101동 710호",2008-08-17,17,매매,2018년05월08일,207450000,권예준,주식회사명동은행,,,,,207450000,1,3,실거주 추정,N,,,,
83,서울시 영등포구 여의도동 41,대교아파트 1동 711호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신보미,020806-4******,"서울시 영등포구 여의도동 41, 101동 711호",2010-08-22,15,상속,,0,신보미,,,,,,0,,4,실거주 추정,N,,,,
84,서울시 영등포구 여의도동 41,대교아파트 1동 712호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,장유진,020325-4******,"서울시 영등포구 여의도동 41, 101동 712호",2008-10-01,17,매매,2020년08월24일,318750000,장유진,주식회사통합은행,,,,,318750000,1,4,실거주 추정,N,,,,
85,서울시 영등포구 여의도동 41,대교아파트 1동 801호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한민준,000226-3******,"서울시 영등포구 여의도동 41, 101동 801호",2014-12-23,10,매매,,0,한민준,,,,,,0,,4,실거주 추정,N,,,,
86,서울시 영등포구 여의도동 41,대교아파트 1동 802호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤용하,731228-2******,서울시 금천구 독산동 224-8,2008-12-13,16,매매,2011년06월18일,722310000,윤용하,주식회사통합은행,,,,,722310000,1,3,세입자 가능성,N,,,,
87,서울시 영등포구 여의도동 41,대교아파트 1동 803호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오수진,040105-3******,"서울시 영등포구 여의도동 41, 101동 803호",2019-04-04,6,상속,2022년05월13일,671960000,오수진,주식회사국민은행,,,,,671960000,1,3,실거주 추정,Y,압류,2025년01월15일,제58128호,국
88,서울시 영등포구 여의도동 41,대교아파트 1동 804호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한현우,010216-3******,"서울시 영등포구 여의도동 41, 101동 804호",2022-10-11,3,상속,2017년08월31일,506240000,한현우,주식회사하나은행,,,,,506240000,1,2,실거주 추정,N,,,,
89,서울시 영등포구 여의도동 41,대교아파트 1동 805호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍영수,990524-1******,"서울시 영등포구 여의도동 41, 101동 805호",2024-05-05,1,상속,2016년12월22일,1661880000,홍영수,주식회사통합은행,,,,,1661880000,1,4,실거주 추정,N,,,,
90,서울시 영등포구 여의도동 41,대교아파트 1동 806호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신유진,040928-4******,"서울시 영등포구 여의도동 41, 101동 806호",2016-02-07,9,증여,,0,신유진,,,,,,0,,4,실거주 추정,N,,,,
