소유자명,생년월일,동호수,소유자_주소,아파트_소재지,도로명주소,건축물_연면적,거주형태,등기목적_분류,등기원인_년월일,근저당설정여부,근저당금액,보유기간,압류가압류,소유형태,세대유형,공유자수,단독소유자수
 홍길동44,610721,광진구 구의동 506-2호,중국 베이징시 차오양구 궈마오 123호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제506-2호,서울특별시 광진구 천호대로 666,61.32,투자,증여,2019-11-08,Y,740000000,4년 9개월,없음,단독소유자,단독세대,0,1
 홍길동45,641017,광진구 구의동 602-1호,인천광역시 연수구 옥련동 528-48,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제602-1호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2021-08-14,Y,730000000,2년 6개월,없음,단독소유자,단독세대,0,1
 홍길동46,510222,광진구 구의동 602-2호,중국 광저우시 톈허구 주장시루 789호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제602-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2016-12-26,Y,180000000,7년 0개월,없음,단독소유자,단독세대,0,1
 홍길동47,700417,광진구 구의동 603-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제603-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제603-1호,서울특별시 광진구 천호대로 666,47.68,실거주,상속,2023-06-25,Y,460000000,1년 6개월,없음,단독소유자,단독세대,0,1
 홍길동48,730821,광진구 구의동 603-2호,경기도 수원시 영통구 매탄동 73-16,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제603-2호,서울특별시 광진구 천호대로 666,47.68,투자,증여,2017-03-11,Y,80000000,4년 5개월,없음,단독소유자,단독세대,0,1
 홍길동49,510411,광진구 구의동 604호,미국 플로리다주 마이애미시 오션드라이브 321,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제604호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2024-07-06,Y,150000000,8년 8개월,없음,단독소유자,단독세대,0,1
 홍길동50,661204,광진구 구의동 605호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제605호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제605호,서울특별시 광진구 천호대로 666,131.28,실거주,매매,2019-07-17,Y,310000000,2년 2개월,없음,단독소유자,단독세대,0,1
 홍길동51,810522,광진구 구의동 606-1호,대전광역시 유성구 도룡동 668-31,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제606-1호,서울특별시 광진구 천호대로 666,42.9,투자,경매,2020-02-20,Y,460000000,2년 0개월,없음,단독소유자,단독세대,0,1
 홍길동52,840813,광진구 구의동 606-2호,광주광역시 서구 상무동 344-9,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제6층 제606-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2019-11-17,Y,450000000,9년 9개월,없음,단독소유자,단독세대,0,1
 홍길동53,620220,광진구 구의동 702-1호,미국 플로리다주 마이애미시 오션드라이브 321,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제702-1호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2017-10-08,Y,,6년 6개월,없음,단독소유자,단독세대,0,1
 홍길동54,941213,광진구 구의동 702-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제702-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제702-2호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2018-04-18,Y,490000000,5년 7개월,없음,단독소유자,단독세대,0,1
 홍길동55,570417,광진구 구의동 703-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제703-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제703-1호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2021-09-13,Y,640000000,8년 9개월,없음,단독소유자,단독세대,0,1
 홍길동56,580709,광진구 구의동 703-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제703-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제703-2호,서울특별시 광진구 천호대로 666,47.68,실거주,증여,2024-12-09,Y,450000000,7년 8개월,없음,단독소유자,단독세대,0,1
 홍길동57,500424,광진구 구의동 704호,부산광역시 해운대구 중동 92-3,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제704호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2016-02-17,Y,90000000,3년 0개월,없음,단독소유자,단독세대,0,1
 홍길동58,660528,광진구 구의동 705호,중국 선전시 난산구 커지로드 234호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제705호,서울특별시 광진구 천호대로 666,131.28,투자,상속,2016-11-23,Y,,1년 3개월,없음,단독소유자,단독세대,0,1
 홍길동59,840802,광진구 구의동 706-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제706-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제706-1호,서울특별시 광진구 천호대로 666,42.9,실거주,매매,2017-10-22,Y,410000000,8년 3개월,없음,단독소유자,단독세대,0,1
 홍길동60,650220,광진구 구의동 706-2호,경기도 성남시 분당구 야탑동 646-27,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제7층 제706-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2018-09-15,Y,,7년 6개월,없음,단독소유자,단독세대,0,1
 홍길동61,511103,광진구 구의동 802-1호,미국 텍사스주 휴스턴시 메인스트리트 890,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제802-1호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2024-01-07,Y,,6년 8개월,없음,단독소유자,단독세대,0,1
 홍길동62,721117,광진구 구의동 802-2호,미국 일리노이주 시카고시 미시간애비뉴 789,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제802-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2018-08-09,Y,180000000,5년 4개월,없음,단독소유자,단독세대,0,1
 홍길동63,981123,광진구 구의동 803-1호,중국 선전시 난산구 커지로드 234호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제803-1호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2021-02-10,Y,,3년 8개월,없음,단독소유자,단독세대,0,1
 홍길동64,600706,광진구 구의동 803-2호,중국 광저우시 톈허구 주장시루 789호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제803-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2017-03-02,Y,110000000,9년 5개월,없음,단독소유자,단독세대,0,1
 홍길동65,740123,광진구 구의동 804호,대전광역시 유성구 도룡동 238-9,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제804호,서울특별시 광진구 천호대로 666,47.68,투자,증여,2017-02-18,Y,460000000,6년 8개월,없음,단독소유자,단독세대,0,1
 홍길동66,500624,광진구 구의동 805호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제805호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제805호,서울특별시 광진구 천호대로 666,131.28,실거주,증여,2020-09-16,Y,230000000,0년 1개월,없음,단독소유자,단독세대,0,1
 홍길동67,851201,광진구 구의동 806-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제806-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제806-1호,서울특별시 광진구 천호대로 666,42.9,실거주,매매,2015-08-24,Y,400000000,9년 3개월,없음,단독소유자,단독세대,0,1
 홍길동68,660627,광진구 구의동 806-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제806-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제8층 제806-2호,서울특별시 광진구 천호대로 666,61.32,실거주,증여,2016-04-17,Y,,2년 0개월,없음,단독소유자,단독세대,0,1
 홍길동69,940706,광진구 구의동 902-1호,중국 베이징시 차오양구 궈마오 123호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제902-1호,서울특별시 광진구 천호대로 666,49.17,투자,상속,2024-04-20,Y,360000000,7년 10개월,없음,단독소유자,단독세대,0,1
 홍길동70,781025,광진구 구의동 902-2호,중국 광저우시 톈허구 주장시루 789호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제902-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2016-11-28,Y,,6년 3개월,없음,단독소유자,단독세대,0,1
 홍길동71,800917,광진구 구의동 903-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제903-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제903-1호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2017-05-13,Y,200000000,3년 6개월,없음,단독소유자,단독세대,0,1
 홍길동72,590901,광진구 구의동 903-2호,부산광역시 해운대구 중동 166-50,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제903-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2022-10-22,Y,360000000,4년 5개월,없음,단독소유자,단독세대,0,1
 홍길동73,940324,광진구 구의동 904호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제904호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제904호,서울특별시 광진구 천호대로 666,47.68,실거주,상속,2015-10-15,Y,320000000,4년 1개월,없음,단독소유자,단독세대,0,1
 홍길동74,640214,광진구 구의동 905호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제905호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제905호,서울특별시 광진구 천호대로 666,131.28,실거주,경매,2019-11-22,Y,200000000,9년 8개월,없음,단독소유자,단독세대,0,1
 홍길동75,880223,광진구 구의동 906-1호,중국 베이징시 차오양구 궈마오 123호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제906-1호,서울특별시 광진구 천호대로 666,42.9,투자,매매,2018-06-13,Y,300000000,4년 2개월,없음,단독소유자,단독세대,0,1
 홍길동76,540405,광진구 구의동 906-2호,중국 상하이시 푸동신구 루자쭈이 456호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제9층 제906-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2018-05-10,Y,60000000,9년 4개월,없음,단독소유자,단독세대,0,1
 홍길동77,680206,광진구 구의동 1002-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1002-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1002-1호,서울특별시 광진구 천호대로 666,49.17,실거주,매매,2022-04-26,Y,360000000,7년 7개월,없음,단독소유자,단독세대,0,1
 홍길동78,770821,광진구 구의동 1002-2호,중국 항저우시 시후구 원얼시루 890호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1002-2호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2020-03-18,Y,210000000,7년 10개월,없음,단독소유자,단독세대,0,1
 홍길동79,790927,광진구 구의동 1003-1호,부산광역시 해운대구 우동 110-27,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1003-1호,서울특별시 광진구 천호대로 666,47.68,투자,경매,2017-04-09,Y,360000000,0년 6개월,없음,단독소유자,단독세대,0,1
 홍길동80,951113,광진구 구의동 1003-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1003-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1003-2호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2017-01-02,Y,,2년 4개월,없음,단독소유자,단독세대,0,1
 홍길동81,920320,광진구 구의동 1004호,미국 뉴욕주 맨해튼 5번가 567,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1004호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2016-12-12,Y,300000000,3년 2개월,없음,단독소유자,단독세대,0,1
 홍길동82,880803,광진구 구의동 1005호,미국 일리노이주 시카고시 미시간애비뉴 789,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1005호,서울특별시 광진구 천호대로 666,131.28,투자,경매,2023-07-21,Y,,1년 7개월,없음,단독소유자,단독세대,0,1
 홍길동83,801006,광진구 구의동 1006-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1006-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1006-1호,서울특별시 광진구 천호대로 666,42.9,실거주,매매,2022-07-24,Y,550000000,1년 0개월,없음,단독소유자,단독세대,0,1
 홍길동84,680509,광진구 구의동 1006-2호,경기도 고양시 일산동구 마두동 480-1,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제10층 제1006-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2021-07-11,Y,,6년 3개월,없음,단독소유자,단독세대,0,1
 홍길동85,790525,광진구 구의동 1102-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1102-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1102-1호,서울특별시 광진구 천호대로 666,49.17,실거주,매매,2021-11-02,Y,200000000,3년 7개월,없음,단독소유자,단독세대,0,1
 홍길동86,620920,광진구 구의동 1102-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1102-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1102-2호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2023-06-02,Y,380000000,4년 11개월,없음,단독소유자,단독세대,0,1
 홍길동87,740926,광진구 구의동 1103-1호,광주광역시 서구 치평동 353-32,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1103-1호,서울특별시 광진구 천호대로 666,47.68,투자,증여,2022-01-23,Y,,6년 4개월,없음,단독소유자,단독세대,0,1
